record_type,record_id,entity_a,entity_b,source_a,source_b,field,value_a,value_b,severity
entity,PER-00714,Jean-Luc Brunel,,epstein-docs,epstein-docs_role,category/role,people,Caller who left a message for J.E.,medium
entity,PER-00728,Jeffrey Epstein,,epstein-docs,epstein-docs_role,category/role,people,Inmate,medium
relationship,1,Jeffrey Epstein,Leon Black,doc-explorer,rhowardstone,relationship_type,attended social event with,associated_with,low
relationship,3,Jeffrey Epstein,Richard Kahn,corpus,rhowardstone,relationship_type,co_occurrence,communicated_with,low
relationship,4,Jeffrey Epstein,Ghislaine Maxwell,doc-explorer,epstein-docs,relationship_type,traveled with,co_documented,low
relationship,5,Jeffrey Epstein,Wilbur Ross,corpus,doc-explorer,relationship_type,co_occurrence,discussed,low
relationship,6,Sheldon Barr,Jeffrey Epstein,corpus,doc-explorer,relationship_type,co_occurrence,commented on,low
relationship,7,Jeffrey Epstein,Lesley Groff,corpus,doc-explorer,relationship_type,co_occurrence,emailed,low
relationship,8,Jeffrey Epstein,Noam Chomsky,corpus,rhowardstone,relationship_type,co_occurrence,communicated_with,low
relationship,9,Jeffrey Epstein,Emmy Tayler,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,11,Jeffrey Epstein,Ghislaine Maxwell,doc-explorer,rhowardstone,relationship_type,attended event with,associated_with,low
relationship,12,Jeffrey Epstein,"Andrew, Duke of York",corpus,doc-explorer,relationship_type,co_occurrence,hosted,low
relationship,13,Jeffrey Epstein,Sarah Kellen,doc-explorer,epstein-docs,relationship_type,traveled with,co_documented,low
relationship,14,Jeffrey Epstein,Richard Joslin,corpus,rhowardstone,relationship_type,co_occurrence,communicated_with,low
relationship,16,Ghislaine Maxwell,Emmy Tayler,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,19,Jeffrey Epstein,Peggy Siegal,corpus,rhowardstone,relationship_type,co_occurrence,communicated_with,low
relationship,20,Jeffrey Epstein,Larry Visoski,corpus,doc-explorer,relationship_type,co_occurrence,traveled with,low
relationship,21,Jeffrey Epstein,Peter Attia,corpus,rhowardstone,relationship_type,co_occurrence,communicated_with,low
relationship,22,Jeffrey Epstein,Nadia Marcinkova,doc-explorer,epstein-docs,relationship_type,traveled with,co_documented,low
relationship,24,Andrew Farkas,Jeffrey Epstein,epstein-docs,rhowardstone,relationship_type,co_documented,communicated_with,low
relationship,26,Jeffrey Epstein,Larry Visoski,corpus,doc-explorer,relationship_type,co_occurrence,transferred title deeds of Ferrari 575M to,low
relationship,27,Brad S. Karp,Jeffrey Epstein,doc-explorer,rhowardstone,relationship_type,called and left voicemail for,communicated_with,low
relationship,28,Jeffrey Epstein,Peter Mandelson,doc-explorer,rhowardstone,relationship_type,emailed,communicated_with,low
relationship,30,Jeffrey Epstein,Tom Pritzker,corpus,rhowardstone,relationship_type,co_occurrence,communicated_with,low
relationship,31,Jeffrey Epstein,Larry Morrison,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,32,Sarah Kellen,Nadia Marcinkova,epstein-docs,rhowardstone,relationship_type,co_documented,traveled_with,low
relationship,35,Jeffrey Epstein,Jes Staley,doc-explorer,epstein-docs,relationship_type,sent email to,co_documented,low
relationship,36,Jeffrey Epstein,Matthew I. Menchel,epstein-docs,rhowardstone,relationship_type,co_documented,communicated_with,low
relationship,37,Darren K. Indyke,Jeffrey Epstein,doc-explorer,epstein-docs,relationship_type,communicated with regarding allegations,co_documented,low
relationship,38,David Mitchell,Jeffrey Epstein,epstein-docs,rhowardstone,relationship_type,co_documented,communicated_with,low
